Date,Station,Line,Direction,Hour,Additional_Trips,Passenger_Demand,Current_Trips,Capacity_Per_Trip
2024-09-06,Yenibosna,M9,Ataköy to Olimpiyat,7,5,1016,6,100.0
2024-09-06,Yenibosna,M9,Ataköy to Olimpiyat,8,8,1257,5,100.0
2024-09-06,Yenibosna,M9,Ataköy to Olimpiyat,18,1,974,9,107.0
2024-09-06,Yenibosna,M9,Olimpiyat to Ataköy,7,5,1016,6,100.0
2024-09-06,Yenibosna,M9,Olimpiyat to Ataköy,8,8,1257,5,100.0
2024-09-06,Yenibosna,M9,Olimpiyat to Ataköy,18,1,974,9,100.0
2024-09-06,Yenikapı,M2,Hacıosman to Yenikapı,7,3,5152,6,580.0
2024-09-06,Yenikapı,M2,Hacıosman to Yenikapı,8,9,8194,6,580.0
2024-09-06,Yenikapı,M2,Hacıosman to Yenikapı,9,3,4938,6,580.0
2024-09-06,Yenikapı,M2,Yenikapı to Hacıosman,7,3,5152,6,580.0
2024-09-06,Yenikapı,M2,Yenikapı to Hacıosman,8,9,8194,6,580.0
2024-09-06,Yenikapı,M2,Yenikapı to Hacıosman,9,3,4938,6,580.0
2024-09-06,İkitelli Sanayi,M3,Bakırköy Sahil to Kayaşehir Merkez,17,2,934,8,100.0
2024-09-06,İkitelli Sanayi,M3,Bakırköy Sahil to Kayaşehir Merkez,18,9,1787,9,100.0
2024-09-06,İkitelli Sanayi,M3,Kayaşehir Merkez to Bakırköy Sahil,17,2,934,8,100.0
2024-09-06,İkitelli Sanayi,M3,Kayaşehir Merkez to Bakırköy Sahil,18,9,1787,9,100.0
2024-09-06,Şişli-Mecidiyeköy,M2,Hacıosman to Yenikapı,7,40,4527,6,100.0
2024-09-06,Şişli-Mecidiyeköy,M2,Hacıosman to Yenikapı,8,68,7392,6,100.0
2024-09-06,Şişli-Mecidiyeköy,M2,Hacıosman to Yenikapı,9,39,4440,6,100.0
2024-09-06,Şişli-Mecidiyeköy,M2,Hacıosman to Yenikapı,16,29,3708,9,100.0
2024-09-06,Şişli-Mecidiyeköy,M2,Hacıosman to Yenikapı,17,39,4768,9,100.0
2024-09-06,Şişli-Mecidiyeköy,M2,Hacıosman to Yenikapı,18,48,5646,9,100.0
2024-09-06,Şişli-Mecidiyeköy,M2,Yenikapı to Hacıosman,7,40,4527,6,100.0
2024-09-06,Şişli-Mecidiyeköy,M2,Yenikapı to Hacıosman,8,68,7392,6,100.0
2024-09-06,Şişli-Mecidiyeköy,M2,Yenikapı to Hacıosman,9,39,4440,6,100.0
2024-09-06,Şişli-Mecidiyeköy,M2,Yenikapı to Hacıosman,16,29,3708,9,100.0
2024-09-06,Şişli-Mecidiyeköy,M2,Yenikapı to Hacıosman,17,39,4768,9,100.0
2024-09-06,Şişli-Mecidiyeköy,M2,Yenikapı to Hacıosman,18,48,5646,9,100.0
2024-09-06,Şişli-Mecidiyeköy,M7,Mahmutbey to Yıldız,16,1,2886,8,340.0
2024-09-06,Şişli-Mecidiyeköy,M7,Mahmutbey to Yıldız,17,7,4952,8,340.0
2024-09-06,Şişli-Mecidiyeköy,M7,Mahmutbey to Yıldız,18,11,6798,9,340.0
2024-09-06,Şişli-Mecidiyeköy,M7,Yıldız to Mahmutbey,16,1,2886,8,340.0
2024-09-06,Şişli-Mecidiyeköy,M7,Yıldız to Mahmutbey,17,7,4952,8,340.0
2024-09-06,Şişli-Mecidiyeköy,M7,Yıldız to Mahmutbey,18,11,6798,9,340.0
2024-09-07,Dudullu,M5,Samandıra Merkez to Üsküdar,8,2,640,5,100.0
2024-09-07,Dudullu,M5,Samandıra Merkez to Üsküdar,16,4,1174,8,100.0
2024-09-07,Dudullu,M5,Samandıra Merkez to Üsküdar,17,5,1293,8,100.0
2024-09-07,Dudullu,M5,Samandıra Merkez to Üsküdar,18,5,1354,9,100.0
2024-09-07,Dudullu,M8,Bostancı to Parseller,8,4,935,5,111.1
2024-09-07,Dudullu,M8,Parseller to Bostancı,7,1,613,6,100.0
2024-09-07,Dudullu,M8,Parseller to Bostancı,8,5,935,5,100.0
2024-09-07,Dudullu,M8,Parseller to Bostancı,17,1,844,8,100.0
2024-09-07,Gayrettepe,M2,Hacıosman to Yenikapı,8,3,817,6,100.0
2024-09-07,Gayrettepe,M2,Hacıosman to Yenikapı,9,1,690,6,100.0
2024-09-07,Gayrettepe,M2,Hacıosman to Yenikapı,16,7,1515,9,100.0
2024-09-07,Gayrettepe,M2,Hacıosman to Yenikapı,17,6,1426,9,100.0
2024-09-07,Gayrettepe,M2,Hacıosman to Yenikapı,18,7,1502,9,100.0
2024-09-07,Gayrettepe,M2,Yenikapı to Hacıosman,8,3,817,6,100.0
2024-09-07,Gayrettepe,M2,Yenikapı to Hacıosman,9,1,690,6,100.0
2024-09-07,Gayrettepe,M2,Yenikapı to Hacıosman,16,7,1515,9,100.0
2024-09-07,Gayrettepe,M2,Yenikapı to Hacıosman,17,6,1426,9,100.0
2024-09-07,Gayrettepe,M2,Yenikapı to Hacıosman,18,7,1502,9,100.0
2024-09-07,Kozyatağı,M4,Kadıköy to Tavşantepe,8,1,565,5,100.0
2024-09-07,Kozyatağı,M4,Kadıköy to Tavşantepe,16,4,1174,8,100.0
2024-09-07,Kozyatağı,M4,Kadıköy to Tavşantepe,17,4,1176,8,100.0
2024-09-07,Kozyatağı,M4,Kadıköy to Tavşantepe,18,2,1084,9,100.0
2024-09-07,Kozyatağı,M4,Tavşantepe to Kadıköy,8,1,565,5,100.0
2024-09-07,Kozyatağı,M4,Tavşantepe to Kadıköy,16,4,1174,8,100.0
2024-09-07,Kozyatağı,M4,Tavşantepe to Kadıköy,17,4,1176,8,100.0
2024-09-07,Kozyatağı,M4,Tavşantepe to Kadıköy,18,2,1084,9,100.0
2024-09-07,Levent,M2,Hacıosman to Yenikapı,7,4,1555,6,172.0
2024-09-07,Levent,M2,Hacıosman to Yenikapı,8,6,1984,6,172.0
2024-09-07,Levent,M2,Hacıosman to Yenikapı,9,4,1672,6,172.0
2024-09-07,Levent,M2,Hacıosman to Yenikapı,16,9,3088,9,172.0
2024-09-07,Levent,M2,Hacıosman to Yenikapı,17,10,3249,9,172.0
2024-09-07,Levent,M2,Hacıosman to Yenikapı,18,10,3183,9,172.0
2024-09-07,Levent,M2,Yenikapı to Hacıosman,7,10,1555,6,100.0
2024-09-07,Levent,M2,Yenikapı to Hacıosman,8,14,1984,6,100.0
2024-09-07,Levent,M2,Yenikapı to Hacıosman,9,11,1672,6,100.0
2024-09-07,Levent,M2,Yenikapı to Hacıosman,16,22,3088,9,100.0
2024-09-07,Levent,M2,Yenikapı to Hacıosman,17,24,3249,9,100.0
2024-09-07,Levent,M2,Yenikapı to Hacıosman,18,23,3183,9,100.0
2024-09-07,Mahmutbey,M3,Kayaşehir Merkez to Bakırköy Sahil,7,6,1267,6,114.5
2024-09-07,Mahmutbey,M3,Kayaşehir Merkez to Bakırköy Sahil,8,10,1402,5,100.0
2024-09-07,Mahmutbey,M3,Kayaşehir Merkez to Bakırköy Sahil,16,2,997,8,100.0
2024-09-07,Mahmutbey,M3,Kayaşehir Merkez to Bakırköy Sahil,17,3,1061,8,100.0
2024-09-07,Mahmutbey,M3,Kayaşehir Merkez to Bakırköy Sahil,18,3,1106,9,100.0
2024-09-07,Şişli-Mecidiyeköy,M2,Hacıosman to Yenikapı,7,15,2048,6,100.0
2024-09-07,Şişli-Mecidiyeköy,M2,Hacıosman to Yenikapı,8,24,2927,6,100.0
2024-09-07,Şişli-Mecidiyeköy,M2,Hacıosman to Yenikapı,9,20,2591,6,100.0
2024-09-07,Şişli-Mecidiyeköy,M2,Hacıosman to Yenikapı,16,28,3612,9,100.0
2024-09-07,Şişli-Mecidiyeköy,M2,Hacıosman to Yenikapı,17,29,3757,9,100.0
2024-09-07,Şişli-Mecidiyeköy,M2,Hacıosman to Yenikapı,18,29,3720,9,100.0
2024-09-07,Şişli-Mecidiyeköy,M2,Yenikapı to Hacıosman,7,15,2048,6,100.0
2024-09-07,Şişli-Mecidiyeköy,M2,Yenikapı to Hacıosman,8,24,2927,6,100.0
2024-09-07,Şişli-Mecidiyeköy,M2,Yenikapı to Hacıosman,9,20,2591,6,100.0
