station_poi_desc_cd,line_name,transition_date,number_of_passenger
Ihlamurkuyu,M5,2024-09-02,1
Ihlamurkuyu,M5,2024-09-04,7147
Ihlamurkuyu,M5,2024-09-05,7354
Ihlamurkuyu,M5,2024-09-06,7354
Ihlamurkuyu,M5,2024-09-07,5906
Ihlamurkuyu,M5,2024-09-08,4166
Ihlamurkuyu,M5,2024-09-09,6142
KADIKOY,M4,2024-09-01,19718
KADIKOY,M4,2024-09-03,2
KADIKOY,M4,2024-09-04,25884
KADIKOY,M4,2024-09-05,25918
KADIKOY,M4,2024-09-06,26752
KADIKOY,M4,2024-09-07,28639
KADIKOY,M4,2024-09-08,22143
KADIKOY,M4,2024-09-09,8366
KAGITHANE,M7,2024-09-01,8163
KAGITHANE,M7,2024-09-02,1
KAGITHANE,M7,2024-09-03,1
KAGITHANE,M7,2024-09-04,14737
KAGITHANE,M7,2024-09-05,14724
KAGITHANE,M7,2024-09-06,14693
KAGITHANE,M7,2024-09-07,11221
KAGITHANE,M7,2024-09-08,7961
KAGITHANE,M7,2024-09-09,8552
KARADENIZ MAH.,M7,2024-09-01,11403
KARADENIZ MAH.,M7,2024-09-04,16886
KARADENIZ MAH.,M7,2024-09-05,16962
KARADENIZ MAH.,M7,2024-09-06,17206
KARADENIZ MAH.,M7,2024-09-07,15402
KARADENIZ MAH.,M7,2024-09-08,11739
KARADENIZ MAH.,M7,2024-09-09,12436
KAYISDAGI,M8,2024-09-01,897
KAYISDAGI,M8,2024-09-04,2308
KAYISDAGI,M8,2024-09-05,2255
KAYISDAGI,M8,2024-09-06,2452
KAYISDAGI,M8,2024-09-07,1601
KAYISDAGI,M8,2024-09-08,1084
KAYISDAGI,M8,2024-09-09,1981
KAZIMKARABEKIR,M7,2024-09-01,7948
KAZIMKARABEKIR,M7,2024-09-03,1
KAZIMKARABEKIR,M7,2024-09-04,12878
KAZIMKARABEKIR,M7,2024-09-05,12889
KAZIMKARABEKIR,M7,2024-09-06,13251
KAZIMKARABEKIR,M7,2024-09-07,10628
KAZIMKARABEKIR,M7,2024-09-08,7494
KAZIMKARABEKIR,M7,2024-09-09,11427
KUCUKBAKKALKOY,M8,2024-09-01,901
