Line,transition_hour,Number_of_Trips,Direction,Day_Type,Peak_Hour_Indicator
M6,10,8,Levent to Boğaziçi Üniversitesi – Hisarüstü,Weekday,No
M6,11,8,Boğaziçi Üniversitesi – Hisarüstü to Levent,Weekday,No
M6,11,8,Levent to Boğaziçi Üniversitesi – Hisarüstü,Weekday,No
M6,12,8,Boğaziçi Üniversitesi – Hisarüstü to Levent,Weekday,No
M6,12,8,Levent to Boğaziçi Üniversitesi – Hisarüstü,Weekday,No
M6,13,8,Boğaziçi Üniversitesi – Hisarüstü to Levent,Weekday,No
M6,13,8,Levent to Boğaziçi Üniversitesi – Hisarüstü,Weekday,No
M6,14,8,Boğaziçi Üniversitesi – Hisarüstü to Levent,Weekday,No
M6,14,8,Levent to Boğaziçi Üniversitesi – Hisarüstü,Weekday,No
M6,15,8,Boğaziçi Üniversitesi – Hisarüstü to Levent,Weekday,No
M6,15,8,Levent to Boğaziçi Üniversitesi – Hisarüstü,Weekday,No
M6,16,8,Boğaziçi Üniversitesi – Hisarüstü to Levent,Weekday,Yes
M6,16,8,Levent to Boğaziçi Üniversitesi – Hisarüstü,Weekday,Yes
M6,17,8,Boğaziçi Üniversitesi – Hisarüstü to Levent,Weekday,Yes
M6,17,8,Levent to Boğaziçi Üniversitesi – Hisarüstü,Weekday,Yes
M6,18,9,Boğaziçi Üniversitesi – Hisarüstü to Levent,Weekday,Yes
M6,18,9,Levent to Boğaziçi Üniversitesi – Hisarüstü,Weekday,Yes
M6,19,9,Boğaziçi Üniversitesi – Hisarüstü to Levent,Weekday,No
M6,19,9,Levent to Boğaziçi Üniversitesi – Hisarüstü,Weekday,No
M6,20,6,Boğaziçi Üniversitesi – Hisarüstü to Levent,Weekday,No
M6,20,6,Levent to Boğaziçi Üniversitesi – Hisarüstü,Weekday,No
M6,21,7,Boğaziçi Üniversitesi – Hisarüstü to Levent,Weekday,No
M6,21,7,Levent to Boğaziçi Üniversitesi – Hisarüstü,Weekday,No
M6,22,6,Boğaziçi Üniversitesi – Hisarüstü to Levent,Weekday,No
