station_poi_desc_cd,line_name,transition_date,transition_hour,number_of_passenger
ALTINSEHIR,M5,2024-09-08,20,174
ALTINSEHIR,M5,2024-09-08,21,132
ALTINSEHIR,M5,2024-09-08,22,97
ALTINSEHIR,M5,2024-09-08,23,60
ALTINSEHIR,M5,2024-09-09,0,4
ALTINSEHIR,M5,2024-09-09,5,47
ALTINSEHIR,M5,2024-09-09,6,323
ALTINSEHIR,M5,2024-09-09,7,996
ALTINSEHIR,M5,2024-09-09,8,1341
ALTINSEHIR,M5,2024-09-09,9,928
ALTINSEHIR,M5,2024-09-09,10,381
ALTINSEHIR,M5,2024-09-09,11,381
ALTINSEHIR,M5,2024-09-09,12,604
ALTINSEHIR,M5,2024-09-09,13,464
ALTINSEHIR,M5,2024-09-09,14,383
ALTINSEHIR,M5,2024-09-09,15,426
ATATURK MAHALLESI,M9,2024-09-01,0,4
ATATURK MAHALLESI,M9,2024-09-01,5,5
ATATURK MAHALLESI,M9,2024-09-01,6,61
ATATURK MAHALLESI,M9,2024-09-01,7,96
ATATURK MAHALLESI,M9,2024-09-01,8,115
ATATURK MAHALLESI,M9,2024-09-01,9,99
ATATURK MAHALLESI,M9,2024-09-01,10,94
ATATURK MAHALLESI,M9,2024-09-01,11,118
ATATURK MAHALLESI,M9,2024-09-01,12,185
ATATURK MAHALLESI,M9,2024-09-01,13,219
ATATURK MAHALLESI,M9,2024-09-01,14,226
ATATURK MAHALLESI,M9,2024-09-01,15,205
ATATURK MAHALLESI,M9,2024-09-01,16,185
ATATURK MAHALLESI,M9,2024-09-01,17,133
ATATURK MAHALLESI,M9,2024-09-01,18,150
ATATURK MAHALLESI,M9,2024-09-01,19,124
ATATURK MAHALLESI,M9,2024-09-01,20,102
ATATURK MAHALLESI,M9,2024-09-01,21,76
ATATURK MAHALLESI,M9,2024-09-01,22,76
ATATURK MAHALLESI,M9,2024-09-01,23,36
ATATURK MAHALLESI,M9,2024-09-03,0,2
ATATURK MAHALLESI,M9,2024-09-04,0,1
ATATURK MAHALLESI,M9,2024-09-04,5,19
ATATURK MAHALLESI,M9,2024-09-04,6,220
